ID,Tweet URL,Account handle,Account name,Account type,Tweet,Tweet Translated,Tweet Type,Date posted,Likes,Replies,Retweets,Quote Tweets,Likes_zscore,Replies_zscore,Retweets_zscore,Quote Tweets_zscore,Account_Anonymous,Account_Identified,Removed any special characters and urls,Tokenized Tweet,Stemmed Tweet,Lemmatized Tweet
13-81,https://twitter.com/masheils/status/977380993702117376,@masheils,shei,Identified,@alejandramj06 @srsasot Nanalo sa karapatan natin dahil nasa boundary natin yun pero yung ibenta ang scarborough shoal wala na tayo makuha dun dhil binenta na sa china sa ilang balik ni trillanes at noynoy sa china. Back door negotiation! Kaya nga di na mapigilan ang china eh dahil sa greedy ng amo nyo,Alejandramj06 srsasot won our rights because we are in the boundary but to sell Scarborough Shoal we have never been sold to China on some trillanes and noynoy back to China Back door negotiation so China is unstoppable because of greedyng boss nyo,"Reply, Text",2018-03-24 11:06:00,0.0,2.0,0.0,0.0,-0.19940174254965867,1.9141916172696114,-0.15170473148451075,-0.14714972880866967,0,1,alejandramj06 srsasot Nanalo sa karapatan natin dahil nasa boundary natin yun pero yung ibenta ang scarborough shoal wala na tayo makuha dun dhil binenta na sa china sa ilang balik ni trillanes at noynoy sa china Back door negotiation Kaya nga di na mapigilan ang china eh dahil sa greedy ng amo nyo,alejandramj06 srsasot rights boundary sell scarborough shoal never sold china trillanes noynoy back china back door negotiation china unstoppable greedyng boss nyo,"['alejandramj06', 'srsasot', 'right', 'boundari', 'sell', 'scarborough', 'shoal', 'never', 'sold', 'china', 'trillan', 'noynoy', 'back', 'china', 'back', 'door', 'negoti', 'china', 'unstopp', 'greedyng', 'boss', 'nyo']","['alejandramj06', 'srsasot', 'right', 'boundary', 'sell', 'scarborough', 'shoal', 'never', 'sold', 'china', 'trillanes', 'noynoy', 'back', 'china', 'back', 'door', 'negotiation', 'china', 'unstoppable', 'greedyng', 'bos', 'nyo']"
13-79,https://twitter.com/maria47215/status/1014364301040054273,@maria47215,シャネル❤️,Identified,"Please kindly watch DDS . how &amp; why Scarborough shoal give away by aquino administration to China 🇨🇳 

https://t.co/oUyo764USw",Please kindly watch DDS  how amp why Scarborough shoal give away by aquino administration to China,"Text, URL",2018-04-07 12:24:00,12.0,1.0,4.0,0.0,0.5406459617583528,0.7077683290744782,0.6910993323183268,-0.14714972880866967,0,1,"Please kindly watch DDS  how amp why Scarborough shoal give away by aquino administration to China  

",please kindly watch dds amp scarborough shoal give away aquino administration china,"['pleas', 'kindli', 'watch', 'dd', 'amp', 'scarborough', 'shoal', 'give', 'away', 'aquino', 'administr', 'china']","['please', 'kindly', 'watch', 'dd', 'amp', 'scarborough', 'shoal', 'give', 'away', 'aquino', 'administration', 'china']"
13-150,https://twitter.com/Madz40496791/status/1000859186857697287,@Madz40496791,Mel,Anonymous,"Ninoy binenta ang Sabah, si Abnoy binenta ang Scarborough Shoal sa China.. taena wag nten iboto si Bam Aquino.. baka ibenta nya ang Pinas sa Malaysia.. never to any Aquino again... salot sa pinas!!",Ninoy sold Sabah and Abnoy sold the Scarborough Shoal in China Taena without voting Bam Aquino lest he sell Pinas in Malaysia Never to any Aquino again Pinas in Pinas,Text,2018-05-28 00:00:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,1,0,Ninoy binenta ang Sabah si Abnoy binenta ang Scarborough Shoal sa China taena wag nten iboto si Bam Aquino baka ibenta nya ang Pinas sa Malaysia never to any Aquino again salot sa pinas,ninoy sold sabah abnoy sold scarborough shoal china taena without voting bam aquino lest sell pinas malaysia never aquino pinas pinas,"['ninoy', 'sold', 'sabah', 'abnoy', 'sold', 'scarborough', 'shoal', 'china', 'taena', 'without', 'vote', 'bam', 'aquino', 'lest', 'sell', 'pina', 'malaysia', 'never', 'aquino', 'pina', 'pina']","['ninoy', 'sold', 'sabah', 'abnoy', 'sold', 'scarborough', 'shoal', 'china', 'taena', 'without', 'voting', 'bam', 'aquino', 'lest', 'sell', 'pinas', 'malaysia', 'never', 'aquino', 'pinas', 'pinas']"
13-78,https://twitter.com/SuziDoctolero/status/1019367049871515648,@SuziDoctolero,Suzette Doctolero,Identified,@KuweLaping Pumalag ba si Pnoy?  Pero may backchanneling na naganap thru his dog Trillanes kaya nawala sa atin ang scarborough shoal. https://t.co/WA671WjJ0T,Did Pnoy go away but backchanneling that happened thru his dog Trillanes so we lost Scarborough Shoal,"Reply, Text, URL",2018-07-18 07:43:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,KuweLaping Pumalag ba si Pnoy  Pero may backchanneling na naganap thru his dog Trillanes kaya nawala sa atin ang scarborough shoal ,pnoy go away backchanneling happened thru dog trillanes lost scarborough shoal,"['pnoy', 'go', 'away', 'backchannel', 'happen', 'thru', 'dog', 'trillan', 'lost', 'scarborough', 'shoal']","['pnoy', 'go', 'away', 'backchanneling', 'happened', 'thru', 'dog', 'trillanes', 'lost', 'scarborough', 'shoal']"
13-148,https://twitter.com/PaulaMarist/status/1036946111351537664,@PaulaMarist,Paula Marist,Identified,"@MrFrankBaraan bulag ka ba? Drug lord si de lima. Si trillanes binenta ang Scarborough Shoal, Sereno under oath ayaw ipakita ang bank accts and liabilities. tangina isa kang salot dito sa pilipinas! either bayaran ka, or may nakukuha kang pera para maging salot ng bansa!",MrfrankBarang Blind Are You Drug Lord De Lima Trillanes sold the Scarborough Shoal Sereno Under Oath Do not show Bank Accts and Liabilities Tangina you are a plague here in the Philippines either you pay or you make money to be a country plague,"Reply, Text",2018-09-04 00:00:00,0.0,1.0,0.0,0.0,-0.19940174254965867,0.7077683290744782,-0.15170473148451075,-0.14714972880866967,0,1,MrFrankBaraan bulag ka ba Drug lord si de lima Si trillanes binenta ang Scarborough Shoal Sereno under oath ayaw ipakita ang bank accts and liabilities tangina isa kang salot dito sa pilipinas either bayaran ka or may nakukuha kang pera para maging salot ng bansa,mrfrankbarang blind drug lord de lima trillanes sold scarborough shoal sereno oath show bank accts liabilities tangina plague philippines either pay make money country plague,"['mrfrankbarang', 'blind', 'drug', 'lord', 'de', 'lima', 'trillan', 'sold', 'scarborough', 'shoal', 'sereno', 'oath', 'show', 'bank', 'acct', 'liabil', 'tangina', 'plagu', 'philippin', 'either', 'pay', 'make', 'money', 'countri', 'plagu']","['mrfrankbarang', 'blind', 'drug', 'lord', 'de', 'lima', 'trillanes', 'sold', 'scarborough', 'shoal', 'sereno', 'oath', 'show', 'bank', 'accts', 'liability', 'tangina', 'plague', 'philippine', 'either', 'pay', 'make', 'money', 'country', 'plague']"
13-77,https://twitter.com/maria47215/status/1043723442585890816,@maria47215,シャネル❤️,Identified,@jlmreyesss @Ceburg88 @janmat2021 @PhilippineStar Did u criticized aquino government when they sold WEst Philippine Sea sa China ? And the mountains of Zambales areas are destroyed at ang mga lupa nito ginamit na pantambak sa Man Made island ng China sa panahon ni Noynoy Aquino,JLMreyesss Ceburg88 JanMat2021 Philippinestar did u criticized Aquino government when they sold West Philippine Sea in China and the Mountains of Zambales areas are destroyed and its lands used to pile the man made island of china during Noynoy Aquino,"Reply, Text",2018-09-23 12:47:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,jlmreyesss Ceburg88 janmat2021 PhilippineStar Did u criticized aquino government when they sold WEst Philippine Sea sa China  And the mountains of Zambales areas are destroyed at ang mga lupa nito ginamit na pantambak sa Man Made island ng China sa panahon ni Noynoy Aquino,jlmreyesss ceburg88 janmat2021 philippinestar u criticized aquino government sold west philippine sea china mountains zambales areas destroyed lands used pile man made island china noynoy aquino,"['jlmreyesss', 'ceburg88', 'janmat2021', 'philippinestar', 'u', 'critic', 'aquino', 'govern', 'sold', 'west', 'philippin', 'sea', 'china', 'mountain', 'zambal', 'area', 'destroy', 'land', 'use', 'pile', 'man', 'made', 'island', 'china', 'noynoy', 'aquino']","['jlmreyesss', 'ceburg88', 'janmat2021', 'philippinestar', 'u', 'criticized', 'aquino', 'government', 'sold', 'west', 'philippine', 'sea', 'china', 'mountain', 'zambales', 'area', 'destroyed', 'land', 'used', 'pile', 'man', 'made', 'island', 'china', 'noynoy', 'aquino']"
13-76,https://twitter.com/tito_benedicto/status/1054723178667270145,@tito_benedicto,Tito Benedicto,Identified,"Hindi lang missing application form kasalanan ni Trillanes, yung pagkawala ng Scarborough Shoal ang matindi!",Not only missing application form Trillanes' fault of the loss of Scarborough Shoal is intense,"Reply, Text",2018-10-23 21:16:00,1.0,0.0,0.0,0.0,-0.13773110052399104,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,Hindi lang missing application form kasalanan ni Trillanes yung pagkawala ng Scarborough Shoal ang matindi,missing application form trillanes ' fault loss scarborough shoal intense,"['miss', 'applic', 'form', 'trillan', ""'"", 'fault', 'loss', 'scarborough', 'shoal', 'intens']","['missing', 'application', 'form', 'trillanes', ""'"", 'fault', 'loss', 'scarborough', 'shoal', 'intense']"
13-80,https://twitter.com/ZemianZ/status/1006140033282203648,@ZemianZ,Zemian Zgregor,Identified,"Kaya nung tinanong ni tatang enrile si trililing trillanes bat siya pabalik balik sa china nah walk out ayun pala benenta na yung Scarborough shoal .. @TrillanesSonny,, tapos isisisi sa administrasyon ngayon .. E kay panot abnoynoy at mga kultong dilawan ang may kagagawan niyan",So when Enrile asked Trililing Trillanes bat he went back to china nah walk out but the Scarborough Shoal Trillanessonny was beaten to blame for the administration today e for Panot Abnoynoy and the yellow cult,Text,2018-11-06 19:44:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,Kaya nung tinanong ni tatang enrile si trililing trillanes bat siya pabalik balik sa china nah walk out ayun pala benenta na yung Scarborough shoal  TrillanesSonny tapos isisisi sa administrasyon ngayon  E kay panot abnoynoy at mga kultong dilawan ang may kagagawan niyan,enrile asked trililing trillanes bat went back china nah walk scarborough shoal trillanessonny beaten blame administration today e panot abnoynoy yellow cult,"['enril', 'ask', 'trilil', 'trillan', 'bat', 'went', 'back', 'china', 'nah', 'walk', 'scarborough', 'shoal', 'trillanessonni', 'beaten', 'blame', 'administr', 'today', 'e', 'panot', 'abnoynoy', 'yellow', 'cult']","['enrile', 'asked', 'trililing', 'trillanes', 'bat', 'went', 'back', 'china', 'nah', 'walk', 'scarborough', 'shoal', 'trillanessonny', 'beaten', 'blame', 'administration', 'today', 'e', 'panot', 'abnoynoy', 'yellow', 'cult']"
13-75,https://twitter.com/ginoangeles21/status/1064925942257147905,@ginoangeles21,Regino Moreno,Identified,@gmanews You should first reveal details of your numerous secret trips to China and explain why you handed over the Scarborough shoal to the chinese. Du30 should press China to reveal details of Trillanes' trips. Disclose it to the public so the people may know.,gmanews You should first reveal details of your numerous secret trips to China and explain why you handed over the Scarborough shoal to the chinese Du30 should press China to reveal details of Trillanes trips Disclose it to the public so the people may know,"Reply, Text",2018-11-21 00:58:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,gmanews You should first reveal details of your numerous secret trips to China and explain why you handed over the Scarborough shoal to the chinese Du30 should press China to reveal details of Trillanes trips Disclose it to the public so the people may know,gmanews first reveal details numerous secret trips china explain handed scarborough shoal chinese du30 press china reveal details trillanes trips disclose public people may know,"['gmanew', 'first', 'reveal', 'detail', 'numer', 'secret', 'trip', 'china', 'explain', 'hand', 'scarborough', 'shoal', 'chines', 'du30', 'press', 'china', 'reveal', 'detail', 'trillan', 'trip', 'disclos', 'public', 'peopl', 'may', 'know']","['gmanews', 'first', 'reveal', 'detail', 'numerous', 'secret', 'trip', 'china', 'explain', 'handed', 'scarborough', 'shoal', 'chinese', 'du30', 'press', 'china', 'reveal', 'detail', 'trillanes', 'trip', 'disclose', 'public', 'people', 'may', 'know']"
13-74,https://twitter.com/Yvonne95072410/status/1065201361107673089,@Yvonne95072410,Yvonne,Anonymous,@tonyocruz @MiaMagdalena IKAW ENRILE NAG PA KALAT NITONG BACK DOOR OF AQUINO AND TRILLANES NA BINENTA ANG SCARBOROUGH SHOAL.,Tonyacruz Miamagdalena You Enrile has been a back door of Aquino and Trillanes who sold the Scarborough Shoal,"Reply, Text",2018-11-21 19:12:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,1,0,tonyocruz MiaMagdalena IKAW ENRILE NAG PA KALAT NITONG BACK DOOR OF AQUINO AND TRILLANES NA BINENTA ANG SCARBOROUGH SHOAL,tonyacruz miamagdalena enrile back door aquino trillanes sold scarborough shoal,"['tonyacruz', 'miamagdalena', 'enril', 'back', 'door', 'aquino', 'trillan', 'sold', 'scarborough', 'shoal']","['tonyacruz', 'miamagdalena', 'enrile', 'back', 'door', 'aquino', 'trillanes', 'sold', 'scarborough', 'shoal']"
13-129,https://twitter.com/ginoangeles21/status/1065252741633597445,@ginoangeles21,Regino Moreno,Identified,@inquirerdotnet @MAgerINQ Why did you not do or say anything about the secret trips of Trillanes where he virtually conceded the Scarborough Shoal to China? Why don't you scrutinize and extract details of his secret trips?,inquirerdotnet MAgerINQ Why did you not do or say anything about the secret trips of Trillanes where he virtually conceded the Scarborough Shoal to China Why dont you scrutinize and extract details of his secret trips,"Reply, Text",2018-11-21 22:36:00,1.0,0.0,0.0,0.0,-0.13773110052399104,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,inquirerdotnet MAgerINQ Why did you not do or say anything about the secret trips of Trillanes where he virtually conceded the Scarborough Shoal to China Why dont you scrutinize and extract details of his secret trips,inquirerdotnet magerinq say anything secret trips trillanes virtually conceded scarborough shoal china dont scrutinize extract details secret trips,"['inquirerdotnet', 'magerinq', 'say', 'anyth', 'secret', 'trip', 'trillan', 'virtual', 'conced', 'scarborough', 'shoal', 'china', 'dont', 'scrutin', 'extract', 'detail', 'secret', 'trip']","['inquirerdotnet', 'magerinq', 'say', 'anything', 'secret', 'trip', 'trillanes', 'virtually', 'conceded', 'scarborough', 'shoal', 'china', 'dont', 'scrutinize', 'extract', 'detail', 'secret', 'trip']"
13-128,https://twitter.com/jbx907/status/1067759728686698501,@jbx907,James༝,Anonymous,Duterte reveals Trillanes earned millions during travels to China for Scarborough shoal https://t.co/2LnnCebfC4,Duterte reveals Trillanes earned millions during travels to China for Scarborough shoal,"Text, URL",2018-11-28 20:38:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,1,0,Duterte reveals Trillanes earned millions during travels to China for Scarborough shoal ,duterte reveals trillanes earned millions travels china scarborough shoal,"['dutert', 'reveal', 'trillan', 'earn', 'million', 'travel', 'china', 'scarborough', 'shoal']","['duterte', 'reveals', 'trillanes', 'earned', 'million', 'travel', 'china', 'scarborough', 'shoal']"
